no,Reserves,np_2000_in,np_2020_in,pland_2000_in,pland_2020_in,pland_2000_out,pland_2020_out,np_change_in,np_change_out,r_np_in,r_np_out,loss_in,loss_out,regrowth_in,regrowth_out
1,Barranca de Metztitlán,3564,2148,61.20446187,69.13974704,57.14393656,58.99007919,-1416,-3933,-0.397306397,-0.333220368,0.173589064,0.392999618,0.850153426,0.602495729
2,Calakmul,180,953,99.60903406,98.93494011,97.40245562,91.23057957,773,4708,4.294444444,4.375464684,0.045136809,0.374185827,0.008356388,0.046394024
3,Chamela-Cuixmala,938,511,84.47232891,80.24881748,73.9971416,70.33981175,-427,-1651,-0.455223881,-0.474288997,0.411131099,0.639033033,0.167472805,0.39695709
4,El Triunfo,500,507,91.64095522,92.53254798,71.9441228,77.18735784,7,-516,0.014,-0.070299728,0.184236899,0.33874767,0.252294604,0.805323114
5,La Sepultura,8911,8620,57.81509307,64.6578589,29.63453811,37.49327109,-291,1546,-0.032656268,0.123927856,0.411130192,0.632247488,1.176099763,2.53109599
6,Lacandona,996,4520,96.34327083,86.55283087,79.28158554,57.72358567,3524,5626,3.53815261,0.781063446,0.558338636,1.706417551,0.02956372,0.138034065
7,Los Tuxtlas,6204,11565,34.51143086,36.27482637,13.53125867,20.34950747,5361,7215,0.864119923,0.803362654,0.677646462,1.595480525,0.729844407,4.30522822
8,LPRC,1396,1185,86.71448909,85.73623092,65.41651434,73.50557318,-211,-1629,-0.151146132,-0.255569501,0.046660713,0.352452227,0.162896397,0.688345553
9,Mariposa Monarca,491,388,88.36259563,89.46612516,48.83223627,47.87702128,-103,-6865,-0.209775967,-0.453374719,0.084636765,0.71378125,0.092582641,0.513386993
10,Ría Lagartos,2070,1640,52.36657518,60.79166164,57.72470793,55.7027484,-430,1589,-0.207729469,0.563675062,0.206468808,0.6589202,0.971196896,0.536623189
11,Selva El Ocote,1838,3202,79.27980965,73.2886177,48.44325159,31.86748274,1364,7643,0.74211099,0.873885205,0.765071746,2.768991328,0.438235544,0.60212608
12,Sian Ka'an,1745,3868,90.62697988,88.17823706,93.93924581,93.51571463,2123,405,1.216618911,0.818181818,0.13084333,0.029455498,0.057100961,0.007615003
13,Sierra de Huautla,2614,631,71.88974131,83.97582946,47.36328341,59.71770885,-1983,-8325,-0.758607498,-0.580867988,0.075654932,0.1733704,0.941638286,1.733105178
14,Sierra de Manantlán,2134,1533,83.81786183,85.58976896,60.12330009,59.45280366,-601,-2361,-0.28163074,-0.276950147,0.204353062,0.495831548,0.20976256,0.39306058
15,Sierra del Abra Tanchipa,116,250,92.22066592,93.32772552,50.2466605,48.44550239,134,2859,1.155172414,0.842865566,0.05465524,1.104291681,0.128780997,1.008105607
16,Sierra Gorda,3650,5594,87.25369141,86.93029677,82.68919985,80.82153491,1944,3456,0.53260274,0.717458999,0.239955791,0.421136199,0.266700575,0.386747234
17,Tehuacán-Cuicatlán,22054,12942,62.35589223,64.41183266,46.9433998,50.7873361,-9112,-9801,-0.413167679,-0.363659976,0.334382964,0.289663405,0.462704425,0.655470805
