no,RB,year,side,Forest amount,Forest cover,Number of patches,Edge density,Patch area,Isolation distance, DIVISION 
1,Calakmul,1986,Inside,1353291.74,98.4841,193,2.3192,7011.8743,100.5857,0.2094
2,Chamela,1986,Inside,35055.9,81.5714,161,16.5575,217.7385,130.5659,0.4633
3,El Cielo,1986,Inside,142124.49,98.3699,25,2.1155,5684.9796,109.8898,0.0336
4,El Triunfo,1986,Inside,115322.31,96.7681,28,6.3447,4118.6539,87.3231,0.0641
5,La encrucijada,1986,Inside,84319.74,73.0422,425,19.9974,198.3994,137.2441,0.5014
6,La sepultura,1986,Inside,154035.09,91.6029,245,13.1277,628.7147,99.1578,0.1641
7,Lacandona,1986,Inside,373068.99,96.2271,128,3.8855,2914.6015,111.7324,0.0768
8,Los Tuxtlas,1986,Inside,87194.34,56.3272,1286,24.1421,67.8028,139.3881,0.8332
9,LPRC,1986,Inside,155506.23,96.6778,113,2.6177,1376.1613,152.8849,0.0661
10,Selva el Ocote,1986,Inside,97364.34,96.1213,42,5.5979,2318.1986,113.4643,0.0781
11,Sian Kaan,1986,Inside,362860.65,96.7865,62,1.5825,5852.5911,280.0547,0.0685
12,Sierra de Huautla,1986,Inside,50696.1,85.8725,78,15.3815,649.95,153.4742,0.2707
13,Sierra de Manatlán,1986,Inside,129208.59,92.5741,274,11.1071,471.5642,104.0065,0.1457
14,Tehuacán,1986,Inside,419181.48,85.2629,1153,13.7098,363.5572,128.9739,0.4306
15,Calakmul,2000,Inside,1372666.049,98.2715,229,2.4517,5994.1749,99.1502,0.2117
16,Chamela,2000,Inside,36089.1,83.9756,108,16.9631,334.1583,194.4535,0.5692
17,El Cielo,2000,Inside,142855.65,98.876,19,1.4248,7518.7184,134.0622,0.0233
18,El Triunfo,2000,Inside,113169.51,94.9616,73,8.4927,1550.2673,93.4298,0.1011
19,La encrucijada,2000,Inside,64180.26,55.6106,780,15.9233,82.2824,165.5458,0.7964
20,La sepultura,2000,Inside,151095.87,89.855,538,13.6474,280.8473,95.5019,0.2005
21,Lacandona,2000,Inside,367707.06,94.8441,286,5.5598,1285.689,103.0697,0.1039
22,Los Tuxtlas,2000,Inside,74403.99,48.0647,1981,22.4318,37.5588,130.9773,0.9018
23,LPRC,2000,Inside,148083.93,92.0633,202,5.4849,733.0888,114.5603,0.1582
24,Selva el Ocote,2000,Inside,96032.07,94.806,91,7.7697,1055.2975,103.8391,0.1046
25,Sian Kaan,2000,Inside,358189.29,95.5847,120,2.5223,2984.9108,203.0717,0.0921
26,Sierra de Huautla,2000,Inside,49423.41,83.7167,108,17.3349,457.6242,123.0802,0.3072
27,Sierra de Manatlán,2000,Inside,130377.96,93.4119,305,7.1403,427.4687,96.0158,0.1309
28,Tehuacán,2000,Inside,418722.12,85.1695,1077,12.5637,388.7856,134.7235,0.4481
29,Calakmul,2016,Inside,1349991.441,98.2439,213,2.1867,6337.988,128.9643,0.2166
30,Chamela,2016,Inside,36807.93,85.7092,82,15.2895,448.8772,192.851,0.2872
31,El Cielo,2016,Inside,142627.68,98.7182,19,1.2444,7506.72,165.9774,0.0282
32,El Triunfo,2016,Inside,117049.95,98.2177,19,3.7168,6160.5237,86.2617,0.0358
33,La encrucijada,2016,Inside,67523.67,58.4927,901,23.4297,74.943,146.9225,0.793
